Date,Description,Debit,Credit,Category
"Feb 04, 2020",THEVOIDLASVEGAS STRIPE.COM TX,79.9,,Entertainment
"Feb 04, 2020",MARVEL AVENGERS ST STRIPE.COM NV,89.04,,Entertainment
"Jul 14, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care
"Jun 23, 2020",HOPE SPECIALTY PHARMACY 800-5575553 CA,55,,Health Care
"Jun 23, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care
"Jun 02, 2020",EXAGEN DIAGNOSTICS INC 505-272-7966 NM,45,,Health Care
"May 29, 2020",HOPE SPECIALTY PHARMACY 800-5575553 CA,10,,Health Care
"May 29, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care
"May 12, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,9.33,,Health Care
"May 12, 2020",SQ *TRINITY URGENT CARE MLa Puente CA,16,,Health Care
"May 06, 2020",RITE AID STORE - 5592 HACIENDA HEIGCA,12.43,,Health Care
"Apr 24, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care
"Apr 23, 2020",SQ *TRINITY URGENT CITY OF INDUSCA,16,,Health Care
"Apr 22, 2020",INLAND RHEUMATOLOGY & O UPLAND CA,145,,Health Care
"Apr 20, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,3.11,,Health Care
"Apr 20, 2020",SQ *TRINITY URGENT LA PUENTE CA,16,,Health Care
"Apr 15, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,6.24,,Health Care
"Apr 15, 2020",SQ *TRINITY URGENT LA PUENTE CA,16,,Health Care
"Apr 10, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,12.44,,Health Care
"Apr 10, 2020",SQ *TRINITY URGENT CITY OF INDUSCA,16,,Health Care
"Feb 20, 2020",RITE AID STORE - 5591 ROWLAND HEIGHCA,18.6,,Health Care
"Jan 31, 2020",HACIENDA HEIGHTS PHAR. HACIENDA HEIGCA,24.64,,Health Care
"Feb 04, 2020",BELLAGIO - TICKET OFFICE LAS VEGAS NV,530.38,,Lodging
"Jul 12, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,15.8,,Merchandise
"Jul 07, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,3.2,,Merchandise
"Jul 07, 2020",Prime Video*MJ4ZO0A02 888-802-3080 WA,14.99,,Merchandise
"Jul 06, 2020",85C BAKERY CAFE USA WEST COVINA CA,3.7,,Merchandise
"Jul 03, 2020",SAMSCLUB #4735 LA HABRA CA,71.02,,Merchandise
"Jul 01, 2020",ATHLETICGREENS WWW.ATHLETICGNV,339.33,,Merchandise
"Jun 30, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,50.33,,Merchandise
"Jun 29, 2020",SAMSCLUB.COM 888-746-7726 AR,46.76,,Merchandise
"Jun 27, 2020",DIAMOND FRESH FARMERS MARWALNUT CA,13.77,,Merchandise
"Jun 27, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,112.12,,Merchandise
"Jun 26, 2020",JOHN PAUL MITCHELL SYSTEM661-298-0400 CA,58.06,,Merchandise
"Jun 24, 2020",MACYS .COM 800-289-6229 OH,259.52,,Merchandise
"Jun 21, 2020",SAMS CLUB #4735 LA HABRA CA,209.41,,Merchandise
"Jun 21, 2020",GOODWILL STORE #0062 WHITTIER CA,25.92,,Merchandise
"Jun 20, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,21.7,,Merchandise
"Jun 14, 2020",LOREAL *KIEHL'S ECOMM 800-543-4572 NJ,23,,Merchandise
"Jun 11, 2020",85C BAKERY CAFE USA WEST COVINA CA,7.45,,Merchandise
"Jun 11, 2020",TS EMPORIUM NO 1 CITY INDUSTRYCA,29.76,,Merchandise
"Jun 10, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,15.07,,Merchandise
"Jun 09, 2020",WALMART.COM AV 800-966-6546 AR,9.82,,Merchandise
"Jun 09, 2020",BESPOKE POST 888-565-6762 NY,318.65,,Merchandise
"Jun 06, 2020",SAMSCLUB #4735 LA HABRA CA,58.37,,Merchandise
"Jun 06, 2020",SMART AND FINAL 422 LA HABRA CA,5.49,,Merchandise
"Jun 06, 2020",COSTCO WHSE #0777 LA HABRA CA,73.2,,Merchandise
"Jun 06, 2020",Prime Video*MY6406XT0 888-802-3080 WA,14.99,,Merchandise
"Jun 06, 2020",WALMART.COM 800-966-6546 AR,56.15,,Merchandise
"Jun 02, 2020",WALMART.COM 800-966-6546 AR,22.59,,Merchandise
"May 27, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,8.19,,Merchandise
"May 25, 2020",THERAGUN LLC 310-7735830 CA,327.41,,Merchandise
"May 25, 2020",ATHLETICGREENS WWW.ATHLETICGNV,113.03,,Merchandise
"May 25, 2020",AMZN Mktp US*M70TR0SO1 Amzn.com/billWA,14.55,,Merchandise
"May 23, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,152.74,,Merchandise
"May 16, 2020",WAL-MART #3248 LA HABRA CA,87.72,,Merchandise
"May 16, 2020",SAMS CLUB #4735 LA HABRA CA,125.66,,Merchandise
"May 15, 2020",VONS #3086 HACIENDA HGHTCA,2.99,,Merchandise
"May 07, 2020",WALMART.COM 800-966-6546 AR,12,,Merchandise
"May 07, 2020",WALMART.COM 800-966-6546 AR,109.47,,Merchandise
"May 06, 2020",APPLE.COM/BILL 866-712-7753 CA,9.99,,Merchandise
"May 06, 2020",Prime Video*V40EV9GF3 888-802-3080 WA,14.99,,Merchandise
"May 06, 2020",DAISO LA06 HACIENDA HGHT HACIENDA HEIGCA,4.93,,Merchandise
"May 05, 2020",SAMSCLUB #4735 LA HABRA CA,78.36,,Merchandise
"May 05, 2020",COSTCO WHSE #0777 LA HABRA CA,135.56,,Merchandise
"May 05, 2020",LH TRADING 866-647-9194 GA,60.2,,Merchandise
"Apr 26, 2020",WALMART.COM 800-966-6546 AR,8.63,,Merchandise
"Apr 18, 2020",SAMSCLUB #4735 LA HABRA CA,181.73,,Merchandise
"Apr 17, 2020",BESPOKE POST 888-565-6762 NY,35.48,,Merchandise
"Apr 16, 2020",AMZN Mktp US*042F39R43 Amzn.com/billWA,192.63,,Merchandise
"Apr 13, 2020",AMZN Mktp US*DW9OV8WV3 Amzn.com/billWA,17.51,,Merchandise
"Apr 06, 2020",Prime Video*ZG2M69CJ3 888-802-3080 WA,14.99,,Merchandise
"Apr 06, 2020",AMZN Mktp US*JU6PW5PC3 Amzn.com/billWA,16.29,,Merchandise
"Apr 06, 2020",AMZN Mktp US*7Z0NC3XE3 Amzn.com/billWA,27.32,,Merchandise
"Apr 05, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,43.57,,Merchandise
"Mar 25, 2020",AMZN Mktp US*LA9HX8VR3 Amzn.com/billWA,11.51,,Merchandise
"Mar 23, 2020",AMZN Mktp US*3T4T92533 Amzn.com/billWA,66.75,,Merchandise
"Mar 16, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,4.92,,Merchandise
"Mar 15, 2020",LOWES #02270* ONTARIO CA,25.84,,Merchandise
"Mar 08, 2020",BESPOKE POST 888-565-6762 NY,53.23,,Merchandise
"Mar 06, 2020",ULTA #775 CITY OF INDUSCA,,-45.99,Merchandise
"Mar 06, 2020",ULTA #775 CITY OF INDUSCA,45.99,,Merchandise
"Mar 06, 2020",Prime Video*RK1OK12L3 888-802-3080 WA,14.99,,Merchandise
"Mar 04, 2020",GOODWILL STORE #0010 HACIENDA HEIGCA,9.99,,Merchandise
"Mar 01, 2020",SUNDRIES - ENCORE LAS VEGAS NV,6.45,,Merchandise
"Feb 25, 2020",DAISO LA06 HACIENDA HGHT HACIENDA HEIGCA,8.21,,Merchandise
"Feb 22, 2020",SAMSCLUB #4735 LA HABRA CA,58.01,,Merchandise
"Feb 21, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,10.38,,Merchandise
"Feb 14, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,32.59,,Merchandise
"Feb 08, 2020",COSTCO WHSE #0777 LA HABRA CA,9.18,,Merchandise
"Feb 08, 2020",VONS #3086 HACIENDA HGHTCA,15.52,,Merchandise
"Feb 06, 2020",BESPOKE POST 888-565-6762 NY,53.23,,Merchandise
"Feb 06, 2020",Prime Video*Q66L177A3 888-802-3080 WA,14.99,,Merchandise
"Feb 01, 2020",SAMSCLUB #4735 LA HABRA CA,140.35,,Merchandise
"Jan 26, 2020",WAL-MART #2251 SE2 CITY OF INDUSCA,18.21,,Merchandise
"Jan 21, 2020",AMZN Mktp US Amzn.com/billWA,,-350.39,Merchandise
"Jan 19, 2020",COSTCO WHSE #0777 LA HABRA CA,67.68,,Merchandise
"Jan 15, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,4.92,,Merchandise
"Jan 11, 2020",SAMSCLUB #4735 LA HABRA CA,44.11,,Merchandise
"Jan 06, 2020",AMZN Mktp US*VV5QF0NX3 Amzn.com/billWA,350.39,,Merchandise
"Jan 06, 2020",Prime Video*6M8503IE3 888-802-3080 WA,14.99,,Merchandise
"Jul 07, 2020",GOLDEN NOODLE & GRILL ROWLAND HEIGHCA,28.2,,Restaurants
"Jun 26, 2020",CHICK-FIL-A #03272 626-581-9788 CA,38.57,,Restaurants
"Jun 03, 2020",3709 EL POLLO LOCO HACIENDA HEIGCA,21.9,,Restaurants
"May 30, 2020",MYUNGRANG HOT DOG ROWLAND HGHTSCA,30.58,,Restaurants
"Mar 11, 2020",CHICK-FIL-A #03272 626-581-9788 CA,9.63,,Restaurants
"Jan 19, 2020",CHILI'S PUENTE HILLS CITY OF INDUSCA,27.51,,Restaurants
"Jan 17, 2020",TST* FIRE WINGS ROWLAND HCITY OF INDUSCA,13.13,,Restaurants
"Jan 17, 2020",MAYAN TACOS INC WALNUT CA,12.23,,Restaurants
"Jan 14, 2020",T-SWIRL CREPE CITY OF INDUSCA,8.75,,Restaurants
"Jan 13, 2020",CHICK-FIL-A #03272 626-581-9788 CA,9.19,,Restaurants
"Jan 11, 2020",IHOP 705 LA MIRADA CA,41.75,,Restaurants
"Jan 11, 2020",SUSHI YUEN CITY INDUSTRYCA,90.65,,Restaurants
"Jan 10, 2020",SUSHI YUEN CITY INDUSTRYCA,31.38,,Restaurants
"Jan 10, 2020",NORTHERN CAFE ROWLAND HGHTSCA,31.47,,Restaurants
"Jul 01, 2020",VALLEY VISTA SERVICES CITY OF INDUSCA,53.97,,Services
