Date,Description,Debit,Credit,Category,FCategory
"Feb 04, 2020",THEVOIDLASVEGAS STRIPE.COM TX,79.9,,Entertainment,ENTERTAINMENT
"Feb 04, 2020",MARVEL AVENGERS ST STRIPE.COM NV,89.04,,Entertainment,ENTERTAINMENT
"Jul 14, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care,HEALTHCARE
"Jun 23, 2020",HOPE SPECIALTY PHARMACY 800-5575553 CA,55,,Health Care,HEALTHCARE
"Jun 23, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care,HEALTHCARE
"Jun 02, 2020",EXAGEN DIAGNOSTICS INC 505-272-7966 NM,45,,Health Care,HEALTHCARE
"May 29, 2020",HOPE SPECIALTY PHARMACY 800-5575553 CA,10,,Health Care,HEALTHCARE
"May 29, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care,HEALTHCARE
"May 12, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,9.33,,Health Care,GAS
"May 12, 2020",SQ *TRINITY URGENT CARE MLa Puente CA,16,,Health Care,HEALTHCARE
"May 06, 2020",RITE AID STORE - 5592 HACIENDA HEIGCA,12.43,,Health Care,GROCERY
"Apr 24, 2020",AMG A PROFESSIONAL CORPOR626-282-0282 CA,15,,Health Care,HEALTHCARE
"Apr 23, 2020",SQ *TRINITY URGENT CITY OF INDUSCA,16,,Health Care,HEALTHCARE
"Apr 22, 2020",INLAND RHEUMATOLOGY & O UPLAND CA,145,,Health Care,HEALTHCARE
"Apr 20, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,3.11,,Health Care,GAS
"Apr 20, 2020",SQ *TRINITY URGENT LA PUENTE CA,16,,Health Care,HEALTHCARE
"Apr 15, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,6.24,,Health Care,GAS
"Apr 15, 2020",SQ *TRINITY URGENT LA PUENTE CA,16,,Health Care,HEALTHCARE
"Apr 10, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,12.44,,Health Care,GAS
"Apr 10, 2020",SQ *TRINITY URGENT CITY OF INDUSCA,16,,Health Care,HEALTHCARE
"Feb 20, 2020",RITE AID STORE - 5591 ROWLAND HEIGHCA,18.6,,Health Care,GROCERY
"Jan 31, 2020",HACIENDA HEIGHTS PHAR. HACIENDA HEIGCA,24.64,,Health Care,HEALTHCARE
"Feb 04, 2020",BELLAGIO - TICKET OFFICE LAS VEGAS NV,530.38,,Lodging,TBD
"Jul 12, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,15.8,,Merchandise,RESTAURANT
"Jul 07, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,3.2,,Merchandise,RESTAURANT
"Jul 07, 2020",Prime Video*MJ4ZO0A02 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Jul 06, 2020",85C BAKERY CAFE USA WEST COVINA CA,3.7,,Merchandise,RESTAURANT
"Jul 03, 2020",SAMSCLUB #4735 LA HABRA CA,71.02,,Merchandise,GROCERY
"Jul 01, 2020",ATHLETICGREENS WWW.ATHLETICGNV,339.33,,Merchandise,FOOD
"Jun 30, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,50.33,,Merchandise,GAS
"Jun 29, 2020",SAMSCLUB.COM 888-746-7726 AR,46.76,,Merchandise,GROCERY
"Jun 27, 2020",DIAMOND FRESH FARMERS MARWALNUT CA,13.77,,Merchandise,GROCERY
"Jun 27, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,112.12,,Merchandise,GAS
"Jun 26, 2020",JOHN PAUL MITCHELL SYSTEM661-298-0400 CA,58.06,,Merchandise,TBD
"Jun 24, 2020",MACYS .COM 800-289-6229 OH,259.52,,Merchandise,TBD
"Jun 21, 2020",SAMS CLUB #4735 LA HABRA CA,209.41,,Merchandise,GROCERY
"Jun 21, 2020",GOODWILL STORE #0062 WHITTIER CA,25.92,,Merchandise,TBD
"Jun 20, 2020",85C BAKERY CAFE USA HACIENDA HTS CA,21.7,,Merchandise,RESTAURANT
"Jun 14, 2020",LOREAL *KIEHL'S ECOMM 800-543-4572 NJ,23,,Merchandise,TBD
"Jun 11, 2020",85C BAKERY CAFE USA WEST COVINA CA,7.45,,Merchandise,RESTAURANT
"Jun 11, 2020",TS EMPORIUM NO 1 CITY INDUSTRYCA,29.76,,Merchandise,GROCERY
"Jun 10, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,15.07,,Merchandise,GROCERY
"Jun 09, 2020",WALMART.COM AV 800-966-6546 AR,9.82,,Merchandise,GROCERY
"Jun 09, 2020",BESPOKE POST 888-565-6762 NY,318.65,,Merchandise,TBD
"Jun 06, 2020",SAMSCLUB #4735 LA HABRA CA,58.37,,Merchandise,GROCERY
"Jun 06, 2020",SMART AND FINAL 422 LA HABRA CA,5.49,,Merchandise,GROCERY
"Jun 06, 2020",COSTCO WHSE #0777 LA HABRA CA,73.2,,Merchandise,GAS
"Jun 06, 2020",Prime Video*MY6406XT0 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Jun 06, 2020",WALMART.COM 800-966-6546 AR,56.15,,Merchandise,GROCERY
"Jun 02, 2020",WALMART.COM 800-966-6546 AR,22.59,,Merchandise,GROCERY
"May 27, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,8.19,,Merchandise,GROCERY
"May 25, 2020",THERAGUN LLC 310-7735830 CA,327.41,,Merchandise,TBD
"May 25, 2020",ATHLETICGREENS WWW.ATHLETICGNV,113.03,,Merchandise,FOOD
"May 25, 2020",AMZN Mktp US*M70TR0SO1 Amzn.com/billWA,14.55,,Merchandise,TBD
"May 23, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,152.74,,Merchandise,GAS
"May 16, 2020",WAL-MART #3248 LA HABRA CA,87.72,,Merchandise,GROCERY
"May 16, 2020",SAMS CLUB #4735 LA HABRA CA,125.66,,Merchandise,GROCERY
"May 15, 2020",VONS #3086 HACIENDA HGHTCA,2.99,,Merchandise,GROCERY
"May 07, 2020",WALMART.COM 800-966-6546 AR,12,,Merchandise,GROCERY
"May 07, 2020",WALMART.COM 800-966-6546 AR,109.47,,Merchandise,GROCERY
"May 06, 2020",APPLE.COM/BILL 866-712-7753 CA,9.99,,Merchandise,TBD
"May 06, 2020",Prime Video*V40EV9GF3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
